Qty,Description,Manufacturer,Mfg part,Vendor,Vendor part,Designator
1,Header,TE Connectivity,9-146274-0-20,DK,A34259-20-ND,SV3
1,Header,Multicomp,2213S-20G,NW,08N6794,SV2
4,Inductor,Taiyo Yuden,BKP1608HS600-T,DK,587-1928-1-ND,"L2, L3, L4, L5"
7,Capacitor,TDK,C1608X7R1E104K080AA,DK,445-1316-1-ND,"C14, C16, C17, C18, C19, C20, C22"
8,Resistor,Panasonic,ERJ-3EKF5601V,NW,64R5354,"R3, R6, R9, R12, R15, R18, R24, R41"
8,Capacitor,Taiyo Yuden,LMK105BJ104KV-F,DK,587-1227-1-ND,"C8, C9, C10, C11, C12, C13, C15, C21"
8,Resistor,Yageo,RC0603JR-1010KL,NW,68R0215,"R2, R5, R8, R11, R14, R20, R25, R42"
1,Diode,STMICROELECTRONICS,STPS0560Z,NW,89K1573,D2
2,Capacitor,Murata,GRM21BR71H104KA01L,NW,38K1694,"C24, C26"
1,Resistor,Vishay Dale,CRCW06030000Z0EA,NW,52K8014,R45
8,Resistor,Vishay Dale,CRCW04021K00JNTD,NW,23C6830,"R1, R4, R7, R10, R13, R16, R22, R40"
7,Resistor,Multicomp,MC0603WGF1001T5E-TC,NW,58K4448,"R17, R19, R21, R26, R27, R28, R30"
7,Capacitor,Murata,GRM188R61E225KA12D,NW,13T1193,"C1, C2, C3, C4, C5, C6, C7"
1,Fuse holder,Littelfuse Wickmann,56200001009,NW,67K2295,F2
2,Capacitor,TDK,C1608C0G1H080D080AA,DK,445-5043-1-ND,"C28, C29"
1,Crystal,ECS Inc,ECS-100-8-30B-CKM,DK,XC1835CT-ND,X5
1,Capacitor,Murata,GRM31CR6YA106KA12L,NW,72R4211,C23
1,Inductor,TDK,VLP8040T-220M,DK,445-6576-1-ND,L1
1,Resistor,Panasonic,ERJ-2RKF1002X,DK,P10.0KLCT-ND,R46
3,Resistor,Yageo,RC0603JR-1010KL,NW,68R0215,"R29, R32, R38"
1,Diode,ON Semiconductor,MM3Z16VT1G,DK,MM3Z16VT1GOSCT-ND,D1
1,Resistor,Vishay Dale,RC0603FR-0720KL,NW,26R4043,R35
1,Capacitor,Taiyo Yuden,JMK316F226ZL-T,NW,84R9730,C25
1,Resistor,Panasonic,ERJ-2RKF3602X,NW,53W4343,R47
2,Resistor,Yageo,RC0603FR-0736KL,DK,311-36.0KHRCT-ND,"R33, R39"
1,Resistor,Panasonic,ERJ-3EKF6192V,NW,65T8501,R34
2,Resistor,Panasonic,ERJ-6GEYJ820V,NW,53W4971,"R36, R37"
1,Resistor,Yageo,RC0805FR-07120RL,DK,311-120CRCT-ND,R31
1,Analog switch,Analog Devices,ADG719BRTZ,Newark,96K2067,IC3
1,Eurostyle pluggable screw terminal block,Molex,39500-0002,NW,21M3111,X4-PLUG
1,MicroClasp plug,Molex,51353-2000,DK,WM3363-ND,X3-CONN
18,MicroClas terminal,Molex,56134-9000,DK,WM3454CT-ND,X3-TERM
7,AmpSeal crimp terminal,TE Connectivity,770854-1,NW,90B6762,"X1-TERM, X2-TERM"
1,AmpSeal plug,TE Connectivity,776286-1,NW,30C8976,"X1-CONN, X2-CONN"
1,Resistor,Vishay Dale,RC0603FR-0720KL,NW,26R4043,R44
1,Resistor,Vishay Dale,RC0603FR-0720KL,NW,26R4043,R43
1,Tactile switch,TE Connectivity,FSM1LPATR,DK,450-1760-1-ND,SW1
2,AmpSeal 8-pin RA header,TE Connectivity,776280-1,Avnet Express,776280-1,"X1, X2"
1,Eurostyle Terminal Block,Molex,39502-1002,NW,03N5770,X4
1,P-channel MOSFET,Fairchild Semiconductor,FDC604P,DK,FDC604PCT-ND,Q1
1,N-channel MOSFET,Fairchild Semiconductor,FDV301N,NW,58K8856,Q2
1,LED,Osram,LGQ971,NW,05M0493,LED0
1,Tactile switch,TE Connectivity,FSM1LPATR,DK,450-1760-1-ND,SW2
1,"0.1"""""""" Male Header - 2 rows",FCI,67996-114HLF,NW,30M1973,X6
2,** DO NOT USE - OBSOLETE ** IC,NXP Semiconductors,PRTR5V0U8S118,MCM,118-PRTR5V0U8S,"IC2, IC7"
1,Micro-Clasp header,Molex,55959-2030,NW,09J7572,X3
1,IC,Texas Instruments,SN65HVD230D,NW,75C7744,U$4
1,IC,Texas Instruments,SN74AHC1G86DBVR,NW,10C2398,IC6
1,*,*,***PART# 'SN74LVC1G14DCKR' NOT FOUND***,*,*,IC8
1,IC,Texas Instruments,SN74LVC2G07DBVR,DK,296-13494-1-ND,IC5
1,IC,Texas Instruments,TMS320F28035PNT,DK,296-32764-ND,IC1
1,IC,Texas Instruments,TPS560200DBVR,*,*,IC4
1,LED,Lumex,SML-LX0603YW-TR,NW,75K1443,LED1
1,Capacitor,NICHICON,UUD1A102MNL1GS,NW,58R3386,C27
